customer_id,split,actual_subscription,subscription_label,predicted_probability,predicted_probability_x10000,predicted_probability_display,score_rank,score_percentile,selected_policy_flag,recommendation_group,score_band,score_band_tableau,age,job,marital,education,contact,month,campaign,previous,poutcome,recommended_top_5,recommended_top_10,recommended_top_15,recommended_top_20,recommended_top_25,recommended_top_30,predicted_label_0_5
test_000856,test,1,Subscribed,0.7208627,7209,72.09%,491,0.8756660746003553,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,56,unknown,married,unknown,telephone,oct,1,0,nonexistent,0,0,1,1,1,1,1
test_001409,test,0,Did Not Subscribe,0.720655,7207,72.07%,492,0.875412331895458,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,33,self-employed,married,university.degree,cellular,aug,3,0,nonexistent,0,0,1,1,1,1,1
test_002027,test,0,Did Not Subscribe,0.7204676,7205,72.05%,493,0.8751585891905608,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,38,technician,single,university.degree,telephone,jun,3,0,nonexistent,0,0,1,1,1,1,1
test_002803,test,1,Subscribed,0.72000575,7200,72.00%,494,0.8749048464856636,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,71,retired,single,unknown,cellular,apr,3,0,nonexistent,0,0,1,1,1,1,1
test_002829,test,1,Subscribed,0.71985203,7199,71.99%,495,0.8746511037807663,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,47,admin.,married,high.school,cellular,oct,1,1,failure,0,0,1,1,1,1,1
test_002455,test,0,Did Not Subscribe,0.71961206,7196,71.96%,496,0.8743973610758691,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,36,technician,single,professional.course,cellular,aug,1,1,failure,0,0,1,1,1,1,1
test_000945,test,0,Did Not Subscribe,0.7187472,7187,71.87%,497,0.8741436183709719,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,36,admin.,married,university.degree,cellular,aug,1,1,failure,0,0,1,1,1,1,1
test_000984,test,0,Did Not Subscribe,0.7181999,7182,71.82%,498,0.8738898756660746,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,51,technician,married,professional.course,cellular,aug,2,1,failure,0,0,1,1,1,1,1
test_000049,test,0,Did Not Subscribe,0.71781653,7178,71.78%,499,0.8736361329611774,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,31,admin.,single,university.degree,cellular,sep,7,0,nonexistent,0,0,1,1,1,1,1
test_003686,test,0,Did Not Subscribe,0.7169372,7169,71.69%,500,0.8733823902562802,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,44,technician,married,high.school,cellular,oct,2,1,failure,0,0,1,1,1,1,1
test_000656,test,0,Did Not Subscribe,0.71623397,7162,71.62%,501,0.8731286475513829,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,32,management,single,university.degree,cellular,mar,2,1,failure,0,0,1,1,1,1,1
test_001701,test,1,Subscribed,0.715942,7159,71.59%,502,0.8728749048464857,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,75,retired,married,basic.4y,cellular,apr,1,1,failure,0,0,1,1,1,1,1
test_003261,test,1,Subscribed,0.7152848,7153,71.53%,503,0.8726211621415885,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,60,admin.,married,university.degree,telephone,jul,1,0,nonexistent,0,0,1,1,1,1,1
test_002817,test,1,Subscribed,0.71499443,7150,71.50%,504,0.8723674194366912,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,19,student,single,unknown,cellular,apr,3,0,nonexistent,0,0,1,1,1,1,1
test_002378,test,1,Subscribed,0.71481204,7148,71.48%,505,0.872113676731794,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,27,admin.,single,unknown,cellular,mar,1,3,failure,0,0,1,1,1,1,1
test_000147,test,1,Subscribed,0.71378523,7138,71.38%,506,0.8718599340268968,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,63,management,married,basic.4y,cellular,nov,4,2,failure,0,0,1,1,1,1,1
test_002233,test,0,Did Not Subscribe,0.71321124,7132,71.32%,507,0.8716061913219995,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,25,technician,single,university.degree,cellular,apr,1,0,nonexistent,0,0,1,1,1,1,1
test_002096,test,0,Did Not Subscribe,0.71293604,7129,71.29%,508,0.8713524486171023,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,33,technician,single,university.degree,cellular,apr,2,0,nonexistent,0,0,1,1,1,1,1
test_000592,test,1,Subscribed,0.7121012,7121,71.21%,509,0.8710987059122051,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,54,retired,married,professional.course,cellular,aug,2,0,nonexistent,0,0,1,1,1,1,1
test_001187,test,1,Subscribed,0.7119632,7120,71.20%,510,0.8708449632073078,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,58,retired,divorced,high.school,cellular,aug,2,1,failure,0,0,1,1,1,1,1
test_000495,test,0,Did Not Subscribe,0.71132517,7113,71.13%,511,0.8705912205024106,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,55,management,married,university.degree,cellular,aug,1,1,failure,0,0,1,1,1,1,1
test_001540,test,0,Did Not Subscribe,0.711026,7110,71.10%,512,0.8703374777975134,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,30,technician,married,professional.course,telephone,oct,2,0,nonexistent,0,0,1,1,1,1,1
test_000326,test,0,Did Not Subscribe,0.7075945,7076,70.76%,513,0.870083735092616,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,62,blue-collar,married,basic.4y,cellular,nov,1,1,failure,0,0,1,1,1,1,1
test_001416,test,0,Did Not Subscribe,0.70736593,7074,70.74%,514,0.8698299923877189,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,27,services,single,university.degree,cellular,mar,6,1,failure,0,0,1,1,1,1,1
test_002121,test,0,Did Not Subscribe,0.7063741,7064,70.64%,515,0.8695762496828217,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,38,admin.,married,high.school,cellular,aug,1,1,failure,0,0,1,1,1,1,1
test_002040,test,0,Did Not Subscribe,0.70561826,7056,70.56%,516,0.8693225069779243,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,28,services,single,high.school,cellular,apr,1,0,nonexistent,0,0,1,1,1,1,1
test_003244,test,1,Subscribed,0.7052685,7053,70.53%,517,0.8690687642730272,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,44,management,married,unknown,telephone,apr,2,1,failure,0,0,1,1,1,1,1
test_002965,test,0,Did Not Subscribe,0.7041192,7041,70.41%,518,0.86881502156813,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,44,blue-collar,married,basic.9y,telephone,apr,2,0,nonexistent,0,0,1,1,1,1,1
test_003014,test,0,Did Not Subscribe,0.7040399,7040,70.40%,519,0.8685612788632326,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,53,admin.,married,university.degree,cellular,aug,1,2,failure,0,0,1,1,1,1,1
test_001974,test,0,Did Not Subscribe,0.70394313,7039,70.39%,520,0.8683075361583354,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,40,blue-collar,divorced,basic.9y,cellular,aug,1,1,failure,0,0,1,1,1,1,1
test_002062,test,0,Did Not Subscribe,0.7038342,7038,70.38%,521,0.8680537934534382,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,19,student,single,unknown,cellular,apr,5,0,nonexistent,0,0,1,1,1,1,1
test_001614,test,0,Did Not Subscribe,0.70237976,7024,70.24%,522,0.8678000507485409,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,28,admin.,single,university.degree,cellular,aug,1,2,failure,0,0,1,1,1,1,1
test_000266,test,0,Did Not Subscribe,0.7018946,7019,70.19%,523,0.8675463080436437,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,58,management,married,basic.4y,cellular,nov,5,0,nonexistent,0,0,1,1,1,1,1
test_001538,test,0,Did Not Subscribe,0.69812554,6981,69.81%,524,0.8672925653387465,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,27,admin.,single,high.school,cellular,apr,1,0,nonexistent,0,0,1,1,1,1,1
test_002976,test,1,Subscribed,0.69734716,6973,69.73%,525,0.8670388226338492,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,33,blue-collar,married,basic.6y,cellular,apr,2,0,nonexistent,0,0,1,1,1,1,1
test_003784,test,0,Did Not Subscribe,0.6971083,6971,69.71%,526,0.866785079928952,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,18,student,single,unknown,telephone,sep,2,0,nonexistent,0,0,1,1,1,1,1
test_001727,test,0,Did Not Subscribe,0.6964625,6965,69.65%,527,0.8665313372240548,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,58,services,married,high.school,cellular,mar,5,1,failure,0,0,1,1,1,1,1
test_000491,test,0,Did Not Subscribe,0.6944217,6944,69.44%,528,0.8662775945191575,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,28,admin.,single,university.degree,cellular,may,3,0,nonexistent,0,0,1,1,1,1,1
test_000604,test,0,Did Not Subscribe,0.69377184,6938,69.38%,529,0.8660238518142603,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,36,management,married,university.degree,cellular,apr,2,0,nonexistent,0,0,1,1,1,1,1
test_000807,test,0,Did Not Subscribe,0.69376314,6938,69.38%,530,0.8657701091093631,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,33,admin.,single,university.degree,telephone,apr,1,0,nonexistent,0,0,1,1,1,1,1
test_002128,test,0,Did Not Subscribe,0.6931687,6932,69.32%,531,0.8655163664044658,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,33,blue-collar,married,professional.course,cellular,apr,1,0,nonexistent,0,0,1,1,1,1,1
test_000017,test,0,Did Not Subscribe,0.69277704,6928,69.28%,532,0.8652626236995686,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,73,retired,divorced,basic.4y,cellular,oct,2,3,failure,0,0,1,1,1,1,1
test_002148,test,0,Did Not Subscribe,0.69196874,6920,69.20%,533,0.8650088809946714,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,23,admin.,single,university.degree,cellular,apr,7,0,nonexistent,0,0,1,1,1,1,1
test_000741,test,0,Did Not Subscribe,0.69164944,6916,69.16%,534,0.8647551382897741,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,29,unemployed,single,university.degree,telephone,jun,1,0,nonexistent,0,0,1,1,1,1,1
test_003838,test,0,Did Not Subscribe,0.68987244,6899,68.99%,535,0.8645013955848769,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,29,admin.,single,university.degree,telephone,apr,3,0,nonexistent,0,0,1,1,1,1,1
test_001406,test,0,Did Not Subscribe,0.6898719,6899,68.99%,536,0.8642476528799797,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,26,student,single,university.degree,cellular,may,1,0,nonexistent,0,0,1,1,1,1,1
test_002858,test,0,Did Not Subscribe,0.68818843,6882,68.82%,537,0.8639939101750824,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,32,blue-collar,married,basic.4y,cellular,nov,3,1,failure,0,0,1,1,1,1,1
test_002607,test,1,Subscribed,0.6878643,6879,68.79%,538,0.8637401674701852,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,43,admin.,divorced,university.degree,cellular,nov,4,2,failure,0,0,1,1,1,1,1
test_003391,test,0,Did Not Subscribe,0.68750453,6875,68.75%,539,0.863486424765288,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,20,student,single,high.school,cellular,may,1,0,nonexistent,0,0,1,1,1,1,1
test_003227,test,0,Did Not Subscribe,0.6870088,6870,68.70%,540,0.8632326820603908,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,37,unemployed,married,high.school,telephone,jun,1,0,nonexistent,0,0,1,1,1,1,1
test_003484,test,0,Did Not Subscribe,0.6869358,6869,68.69%,541,0.8629789393554935,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,28,admin.,single,university.degree,cellular,apr,1,0,nonexistent,0,0,1,1,1,1,1
test_001918,test,1,Subscribed,0.6849484,6849,68.49%,542,0.8627251966505963,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,53,blue-collar,single,basic.9y,telephone,jul,2,0,nonexistent,0,0,1,1,1,1,1
test_000109,test,1,Subscribed,0.68358266,6836,68.36%,543,0.862471453945699,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,32,admin.,single,university.degree,telephone,oct,3,0,nonexistent,0,0,1,1,1,1,1
test_001193,test,1,Subscribed,0.6826653,6827,68.27%,544,0.8622177112408018,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,51,admin.,single,high.school,telephone,jul,1,0,nonexistent,0,0,1,1,1,1,1
test_002427,test,0,Did Not Subscribe,0.6824053,6824,68.24%,545,0.8619639685359046,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,49,unemployed,married,university.degree,cellular,apr,1,1,failure,0,0,1,1,1,1,1
test_002753,test,0,Did Not Subscribe,0.682349,6823,68.23%,546,0.8617102258310074,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,25,technician,single,basic.9y,telephone,jun,2,0,nonexistent,0,0,1,1,1,1,1
test_003905,test,0,Did Not Subscribe,0.67807055,6781,67.81%,547,0.8614564831261101,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,47,management,married,high.school,cellular,may,1,2,failure,0,0,1,1,1,1,1
test_000090,test,1,Subscribed,0.67744625,6774,67.74%,548,0.8612027404212129,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,35,admin.,divorced,high.school,telephone,apr,3,1,failure,0,0,1,1,1,1,1
test_002051,test,0,Did Not Subscribe,0.67581326,6758,67.58%,549,0.8609489977163156,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,37,admin.,married,university.degree,telephone,nov,1,1,success,0,0,1,1,1,1,1
test_000033,test,0,Did Not Subscribe,0.67571366,6757,67.57%,550,0.8606952550114184,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,23,student,single,high.school,cellular,apr,2,0,nonexistent,0,0,1,1,1,1,1
test_001450,test,0,Did Not Subscribe,0.6747856,6748,67.48%,551,0.8604415123065212,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,36,management,married,basic.4y,cellular,oct,3,0,nonexistent,0,0,1,1,1,1,1
test_001961,test,0,Did Not Subscribe,0.6745798,6746,67.46%,552,0.860187769601624,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,52,blue-collar,married,basic.4y,cellular,apr,1,0,nonexistent,0,0,1,1,1,1,1
test_003426,test,0,Did Not Subscribe,0.67101926,6710,67.10%,553,0.8599340268967267,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,26,admin.,single,high.school,telephone,aug,1,0,nonexistent,0,0,1,1,1,1,1
test_003059,test,0,Did Not Subscribe,0.66917056,6692,66.92%,554,0.8596802841918295,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,52,admin.,married,university.degree,cellular,may,2,0,nonexistent,0,0,1,1,1,1,1
test_003402,test,1,Subscribed,0.66613483,6661,66.61%,555,0.8594265414869322,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,34,blue-collar,married,high.school,cellular,may,1,2,success,0,0,1,1,1,1,1
test_001509,test,1,Subscribed,0.66372293,6637,66.37%,556,0.859172798782035,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,53,admin.,single,university.degree,telephone,nov,3,1,failure,0,0,1,1,1,1,1
test_001866,test,1,Subscribed,0.6625852,6626,66.26%,557,0.8589190560771378,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,23,technician,single,professional.course,telephone,jul,4,0,nonexistent,0,0,1,1,1,1,1
test_002591,test,0,Did Not Subscribe,0.6611713,6612,66.12%,558,0.8586653133722406,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,26,self-employed,single,university.degree,cellular,aug,2,1,failure,0,0,1,1,1,1,1
test_003761,test,0,Did Not Subscribe,0.66066074,6607,66.07%,559,0.8584115706673433,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,58,retired,divorced,basic.4y,telephone,aug,1,0,nonexistent,0,0,1,1,1,1,1
test_003077,test,0,Did Not Subscribe,0.66047007,6605,66.05%,560,0.8581578279624461,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,35,admin.,single,university.degree,telephone,aug,3,0,nonexistent,0,0,1,1,1,1,1
test_002596,test,0,Did Not Subscribe,0.660341,6603,66.03%,561,0.8579040852575488,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,34,management,married,university.degree,cellular,apr,2,0,nonexistent,0,0,1,1,1,1,1
test_000421,test,1,Subscribed,0.65939677,6594,65.94%,562,0.8576503425526516,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,56,self-employed,married,university.degree,cellular,apr,2,0,nonexistent,0,0,1,1,1,1,1
test_003098,test,0,Did Not Subscribe,0.6569623,6570,65.70%,563,0.8573965998477544,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,24,admin.,single,professional.course,cellular,apr,6,0,nonexistent,0,0,1,1,1,1,1
test_003264,test,0,Did Not Subscribe,0.6566521,6567,65.67%,564,0.8571428571428572,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,49,admin.,married,unknown,cellular,apr,3,0,nonexistent,0,0,1,1,1,1,1
test_001835,test,0,Did Not Subscribe,0.6548494,6548,65.48%,565,0.8568891144379599,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,45,management,married,university.degree,telephone,jul,2,1,failure,0,0,1,1,1,1,1
test_002383,test,1,Subscribed,0.6544312,6544,65.44%,566,0.8566353717330627,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,27,admin.,single,university.degree,cellular,apr,2,0,nonexistent,0,0,1,1,1,1,1
test_001639,test,0,Did Not Subscribe,0.6538913,6539,65.39%,567,0.8563816290281654,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,25,admin.,single,university.degree,telephone,aug,3,0,nonexistent,0,0,1,1,1,1,1
test_002938,test,0,Did Not Subscribe,0.65359664,6536,65.36%,568,0.8561278863232682,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,63,retired,married,university.degree,telephone,aug,3,0,nonexistent,0,0,1,1,1,1,1
test_003198,test,1,Subscribed,0.6526802,6527,65.27%,569,0.855874143618371,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,26,technician,single,professional.course,cellular,apr,1,0,nonexistent,0,0,1,1,1,1,1
test_003403,test,0,Did Not Subscribe,0.6523072,6523,65.23%,570,0.8556204009134738,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,31,student,single,high.school,cellular,apr,3,0,nonexistent,0,0,1,1,1,1,1
test_002683,test,0,Did Not Subscribe,0.64895654,6490,64.90%,571,0.8553666582085765,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,30,admin.,married,university.degree,cellular,apr,3,1,failure,0,0,1,1,1,1,1
test_003460,test,0,Did Not Subscribe,0.648797,6488,64.88%,572,0.8551129155036793,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,44,blue-collar,married,professional.course,cellular,oct,1,2,failure,0,0,1,1,1,1,1
test_002690,test,1,Subscribed,0.6483147,6483,64.83%,573,0.854859172798782,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,24,technician,single,professional.course,cellular,sep,5,3,failure,0,0,1,1,1,1,1
test_001834,test,1,Subscribed,0.64672595,6467,64.67%,574,0.8546054300938848,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,22,admin.,single,university.degree,cellular,sep,2,3,failure,0,0,1,1,1,1,1
test_003136,test,0,Did Not Subscribe,0.6465982,6466,64.66%,575,0.8543516873889876,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,45,blue-collar,married,basic.9y,cellular,may,4,0,nonexistent,0,0,1,1,1,1,1
test_000312,test,1,Subscribed,0.6465665,6466,64.66%,576,0.8540979446840904,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,88,retired,divorced,basic.4y,cellular,mar,7,0,nonexistent,0,0,1,1,1,1,1
test_001054,test,1,Subscribed,0.6440305,6440,64.40%,577,0.8538442019791931,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,66,retired,married,basic.4y,cellular,apr,11,0,nonexistent,0,0,1,1,1,1,1
test_000633,test,1,Subscribed,0.64362824,6436,64.36%,578,0.8535904592742959,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,34,unemployed,single,university.degree,cellular,nov,5,1,failure,0,0,1,1,1,1,1
test_002599,test,0,Did Not Subscribe,0.64311147,6431,64.31%,579,0.8533367165693986,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,33,admin.,married,university.degree,telephone,jun,1,0,nonexistent,0,0,1,1,1,1,1
test_000418,test,1,Subscribed,0.6408981,6409,64.09%,580,0.8530829738645014,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,92,retired,divorced,unknown,cellular,may,3,1,failure,0,0,1,1,1,1,1
test_001337,test,0,Did Not Subscribe,0.64039594,6404,64.04%,581,0.8528292311596042,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,68,retired,married,university.degree,cellular,may,2,0,nonexistent,0,0,1,1,1,1,1
test_001340,test,0,Did Not Subscribe,0.6391415,6391,63.91%,582,0.852575488454707,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,39,technician,married,basic.6y,cellular,apr,3,0,nonexistent,0,0,1,1,1,1,1
test_001427,test,1,Subscribed,0.63859457,6386,63.86%,583,0.8523217457498097,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,21,self-employed,single,university.degree,cellular,apr,1,0,nonexistent,0,0,1,1,1,1,1
test_002557,test,1,Subscribed,0.6379078,6379,63.79%,584,0.8520680030449125,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,43,admin.,married,university.degree,cellular,apr,4,0,nonexistent,0,0,1,1,1,1,1
test_003400,test,0,Did Not Subscribe,0.63506085,6351,63.51%,585,0.8518142603400152,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,42,services,single,basic.6y,cellular,apr,3,0,nonexistent,0,0,1,1,1,1,1
test_003748,test,0,Did Not Subscribe,0.63484794,6348,63.48%,586,0.851560517635118,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,28,blue-collar,single,basic.9y,cellular,apr,2,0,nonexistent,0,0,1,1,1,1,1
test_000447,test,0,Did Not Subscribe,0.63448983,6345,63.45%,587,0.8513067749302208,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,55,blue-collar,single,basic.4y,cellular,apr,2,0,nonexistent,0,0,1,1,1,1,1
test_002898,test,0,Did Not Subscribe,0.6330591,6331,63.31%,588,0.8510530322253236,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,35,blue-collar,married,high.school,telephone,jul,1,0,nonexistent,0,0,1,1,1,1,1
test_000818,test,0,Did Not Subscribe,0.6323587,6324,63.24%,589,0.8507992895204263,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,58,admin.,married,university.degree,telephone,aug,2,0,nonexistent,0,0,1,1,1,1,1
test_003778,test,0,Did Not Subscribe,0.6310891,6311,63.11%,590,0.8505455468155291,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,22,admin.,married,high.school,cellular,apr,2,0,nonexistent,0,0,1,1,1,1,1
test_000120,test,0,Did Not Subscribe,0.6287953,6288,62.88%,591,0.8502918041106318,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,30,technician,single,professional.course,telephone,jun,1,0,nonexistent,0,0,1,1,1,1,1
test_002742,test,0,Did Not Subscribe,0.6282976,6283,62.83%,592,0.8500380614057346,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,48,blue-collar,married,basic.4y,cellular,may,1,1,success,0,0,1,1,1,1,1
test_002827,test,0,Did Not Subscribe,0.62793887,6279,62.79%,593,0.8497843187008374,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,28,blue-collar,single,basic.9y,cellular,apr,2,0,nonexistent,0,0,0,1,1,1,1
test_001449,test,1,Subscribed,0.6279291,6279,62.79%,594,0.8495305759959402,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,38,admin.,divorced,university.degree,cellular,apr,1,0,nonexistent,0,0,0,1,1,1,1
test_003124,test,0,Did Not Subscribe,0.6275579,6276,62.76%,595,0.8492768332910429,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,45,admin.,divorced,university.degree,telephone,sep,1,0,nonexistent,0,0,0,1,1,1,1
test_002475,test,1,Subscribed,0.62671417,6267,62.67%,596,0.8490230905861457,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,37,services,single,high.school,cellular,apr,1,0,nonexistent,0,0,0,1,1,1,1
test_001734,test,0,Did Not Subscribe,0.626608,6266,62.66%,597,0.8487693478812484,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,26,student,single,high.school,cellular,may,1,0,nonexistent,0,0,0,1,1,1,1
test_002244,test,1,Subscribed,0.62658733,6266,62.66%,598,0.8485156051763512,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,50,admin.,single,high.school,telephone,dec,2,0,nonexistent,0,0,0,1,1,1,1
test_000203,test,0,Did Not Subscribe,0.62397367,6240,62.40%,599,0.848261862471454,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,43,blue-collar,married,basic.9y,cellular,may,1,1,success,0,0,0,1,1,1,1
test_003526,test,0,Did Not Subscribe,0.6220619,6221,62.21%,600,0.8480081197665568,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,46,technician,single,basic.9y,cellular,apr,1,0,nonexistent,0,0,0,1,1,1,1
test_003796,test,1,Subscribed,0.6194988,6195,61.95%,601,0.8477543770616595,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,47,housemaid,single,professional.course,cellular,apr,2,0,nonexistent,0,0,0,1,1,1,1
test_000022,test,0,Did Not Subscribe,0.6191226,6191,61.91%,602,0.8475006343567623,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,54,blue-collar,married,basic.4y,cellular,may,3,0,nonexistent,0,0,0,1,1,1,1
test_002594,test,0,Did Not Subscribe,0.6177421,6177,61.77%,603,0.847246891651865,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,58,retired,married,university.degree,telephone,may,2,0,nonexistent,0,0,0,1,1,1,1
test_001182,test,0,Did Not Subscribe,0.6173166,6173,61.73%,604,0.8469931489469678,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,24,technician,single,high.school,cellular,apr,1,0,nonexistent,0,0,0,1,1,1,1
test_001031,test,0,Did Not Subscribe,0.61727583,6173,61.73%,605,0.8467394062420706,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,21,unemployed,single,high.school,telephone,aug,2,0,nonexistent,0,0,0,1,1,1,1
test_001672,test,0,Did Not Subscribe,0.6164633,6165,61.65%,606,0.8464856635371734,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,24,blue-collar,single,high.school,cellular,sep,1,3,failure,0,0,0,1,1,1,1
test_002082,test,1,Subscribed,0.6163361,6163,61.63%,607,0.846231920832276,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,32,management,single,university.degree,cellular,apr,1,0,nonexistent,0,0,0,1,1,1,1
test_003215,test,0,Did Not Subscribe,0.615936,6159,61.59%,608,0.8459781781273789,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,39,blue-collar,single,basic.9y,cellular,may,3,0,nonexistent,0,0,0,1,1,1,1
test_002521,test,0,Did Not Subscribe,0.61294883,6129,61.29%,609,0.8457244354224815,1,Recommended: Top 20%,0.60 to 0.79,60% to 79%,47,management,married,university.degree,cellular,aug,2,6,failure,0,0,0,1,1,1,1
